main_category,sub_category_1,sub_category_2
Woody,Extractive,Vanilla
Woody,Extractive,Spice
Woody,Extractive,Oak
Woody,Extractive,Caramel Cinnamon
Woody,Extractive,Orange
Woody,Extractive,Gingery
Woody,Extractive,Peppery
Woody,Extractive,Apple
Woody,Extractive,Smooth
Woody,Extractive,Hon
Woody,Extractive,Sugary
Woody,Extractive,Spicy
Woody,Extractive,Black
Woody,Extractive,Clove
Woody,Alcohols,Oloroso
Woody,Alcohols,Plain
Woody,Alcohols,Sherry
Woody,Alcohols,Butty
Woody,Alcohols,Coffee
Woody,Alcohols,Lengthy
Woody,Alcohols,Milky
Woody,Alcohols,Treacle
Woody,Alcohols,Savory
Woody,,Pipe
Woody,,Tobacco
Woody,,Leathery
Woody,,Maple
Woody,,Syrupy
Woody,,Golden
Woody,,Round
Woody,,Lovely
Woody,,Influence
Woody,,Nut
Woody,,Toffee
Woody,,Deep
Woody,,Lish
Woody,,Layer
Woody,,Depth
Peaty,,Tar
Peaty,,Seawe
Peaty,,Campfire
Peaty,,Sauce
Peaty,,Damp
Peaty,,Power
Peaty,,Charco
Peaty,,Salty
Peaty,,Sea
Peaty,,Medicine
Peaty,,Peaty
Peaty,,Ashy
Peaty,,Brine
Peaty,,Smokey
Peaty,,Heather
Grainy,Mash,Wheat
Grainy,Mash,Rye
Grainy,Mash,Corny
Grainy,Mash,End
Grainy,Mash,Dusty
Grainy,Mash,Spirit
Grainy,Mash,Grainy
Grainy,Mash,Small
Grainy,Mash,Hardy
Grainy,Mash,Interesting
Grainy,Mash,Bit
Grainy,Mash,Hot
Grainy,Mash,Heat
Grainy,Mash,Tongue
Grainy,Mash,Bitter
Grassy,,Minty
Grassy,,Pricey
Grassy,,Way
Grassy,,High
Grassy,,Young
Grassy,,Style
Grassy,,Youth
Grassy,,Gret
Grassy,,Watery
Grassy,,Little
Grassy,,Woody
Grassy,,Sweet
Grassy,,Bi
Grassy,,Lot
Grassy,,Burn
Fruity,Tropical,Vintage
Fruity,Tropical,Honey
Fruity,Tropical,Papaya
Fruity,Tropical,Mango
Fruity,Tropical,Nectarine
Fruity,Tropical,Coconut
Fruity,Tropical,Pineapple
Fruity,Tropical,Tropic
Fruity,Tropical,Tangerine
Fruity,Tropical,Gold
Fruity,Tropical,Marshmallow
Fruity,Tropical,Elegant
Fruity,Tropical,Bright
Fruity,Tropical,Delicious
Fruity,Floral,Lemony
Fruity,Floral,Tarty
Fruity,Floral,Whitey
Fruity,Floral,Dry
Fruity,Floral,Peachy
Fruity,Floral,Apricot
Fruity,Floral,Fruity
Fruity,Floral,Citrus
Fruity,Floral,Malty
Fruity,Floral,Banana
Fruity,Floral,Pear
Fruity,Floral,Flor
Fruity,Floral,Light
Fruity,Floral,Creamy
Fruity,Floral,Grassy
Fruity,Dried Fruit,Date
Fruity,Dried Fruit,Body
Fruity,Dried Fruit,Mix
Fruity,Dried Fruit,Ripe
Fruity,Dried Fruit,Nutty
Fruity,Dried Fruit,Dram
Fruity,Dried Fruit,Range
Fruity,Dried Fruit,Earthy
Fruity,Dried Fruit,Cherry
Fruity,Dried Fruit,Medium
Fruity,Dried Fruit,Refill
Fruity,Dried Fruit,Tannin
Fruity,Dried Fruit,Anise
Fruity,Berries,Cobbler
Fruity,Berries,Grape
Fruity,Berries,R
Fruity,Berries,Wine
Fruity,Berries,Blackberry
Fruity,Berries,Blueberry
Fruity,Berries,Jam
Fruity,Berries,Raspberry
Fruity,Berries,Berry
Fruity,Berries,Plumy
Fruity,Berries,Strawberry
Fruity,Berries,Port
Fruity,Berries,Currant
